activity_month,account_id,brand_id,reg_date,ftd_date,qp_date,ben_login_id,tracker_id,player_reg_product,total_deposit,total_handle,total_ngr,months_active
2023-11-01,154497623,AZ,2022-10-28,2022-10-28,2022-10-28,actionnetwork,7039239,BETTING,0.0,5.0,4.0,13
2023-11-01,184718245,OH,2023-11-13,2023-11-13,2023-11-13,actionnetwork,7106987,BETTING,10.0,210.0,138.98,0
2023-11-01,183573211,OH,2023-11-06,2023-11-06,2023-11-06,BCUSA22NP,7106983,BETTING,10.0,210.0,-320.22,0
2023-11-01,153923970,PA,2022-09-12,2022-09-12,2022-09-12,BCUSA22N,7086406,CASINO,0.0,0.0,0.0,14
2023-11-01,174413334,TN,2023-10-05,2023-10-05,2023-11-21,BCUSA22N,7086400,BETTING,60.0,303.0,68.46,1
2023-11-01,153776081,AZ,2022-09-10,2022-09-10,2022-09-15,starsportsmx,7080479,BETTING,0.0,170.0,136.0,14
2023-11-01,160312091,OH,2022-12-03,2023-05-20,2023-01-08,actionnetwork,7083318,BETTING,0.0,1188.58,261.74,6
2023-11-01,185494113,OH,2023-11-27,2023-11-27,2023-11-27,starsportsmx,7106939,BETTING,10.0,210.0,148.98,0
2023-11-01,159636179,MI,2023-05-27,2023-05-27,2023-05-27,starsportsmx,7077220,CASINO,0.0,0.0,-7.2,6
2023-11-01,184872418,CO,2023-11-16,2023-11-16,2023-11-16,BCUSA22NP,7103550,BETTING,10.0,10.0,5.78,0
2023-11-01,160047294,IS,2023-07-02,2023-07-02,2023-07-02,BCUSA22N,7103518,BETTING,0.0,10.0,7.5,4
2023-11-01,171348342,PA,2023-09-25,2023-09-25,2023-09-25,starsportsmx,7106940,BETTING,0.0,4.4,0.01,2
2023-11-01,185021652,MD,2023-11-19,2023-11-19,2023-11-19,BCUSA22NP,7106979,BETTING,15.0,215.0,160.92,0
2023-11-01,154824632,OH,2022-11-17,2022-11-17,2023-01-01,actionnetwork,7039239,BETTING,10.0,36.27,11.78,12
2023-11-01,168785856,MD,2023-09-11,2023-09-11,2023-09-11,starsportsmx,7106939,BETTING,30.0,1614.04,-161.65,2
2023-11-01,185441029,IS,2023-11-26,2023-11-26,2023-11-26,actionnetwork,7106987,BETTING,10.0,10.0,6.04,0
2023-11-01,156207164,OH,2023-01-05,2023-11-22,2023-11-22,starsportsmx,7080479,BETTING,10.0,227.0,-112.92,0
2023-11-01,151753746,IS,2022-05-24,2023-06-16,2023-06-16,BCUSA22L,7037834,BETTING,100.0,624.0,64.66,5
2023-11-01,157492874,NO,2023-01-29,2023-01-29,2023-01-29,actionnetwork,7086643,BETTING,0.0,0.0,0.0,10
2023-11-01,177788823,PA,2023-10-12,2023-10-13,2023-10-14,starsportsmx,7077212,BETTING,30.0,32.5,10.49,1
2023-11-01,184793277,VA,2023-11-14,2023-11-14,2023-11-14,BCUSA22N,7103518,BETTING,10.0,10.0,5.28,0
2023-11-01,185321510,VA,2023-11-23,2023-11-23,2023-11-24,actionnetwork,7103466,BETTING,10.0,10.0,7.28,0
